Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-09-22T15:07:06.782Z","Included","auto","No","700","0","22974","226","23900","0.01"
"2025-09-22T15:06:27.527Z","Included","auto","No","719","0","21574","210","22503","0.01"
"2025-09-22T15:06:06.889Z","Included","auto","No","885","0","20003","210","21098","0.01"
"2025-09-22T15:05:40.000Z","Included","auto","No","2678","0","16564","203","19445","0.01"
"2025-09-22T15:01:39.837Z","Included","auto","No","2190","0","17304","377","19871","0.01"
"2025-09-22T14:51:21.521Z","Included","auto","No","189843","0","6618048","7822","6815713","1.94"
"2025-09-22T14:42:16.956Z","Included","auto","No","47565","0","1413011","2446","1463022","0.43"
"2025-09-22T14:35:27.495Z","Errored, Not Charged","auto","No","50841","0","1789109","2680","1842630","0.53"
"2025-09-22T14:27:33.915Z","Included","auto","No","2693","0","56702","1305","60700","0.03"
"2025-09-22T14:25:50.939Z","Included","auto","No","1732","0","35936","1043","38711","0.02"
"2025-09-22T14:23:53.502Z","Included","auto","No","4338","0","45683","1255","51276","0.02"
"2025-09-22T14:15:03.451Z","Included","auto","No","2988","0","16300","607","19895","0.01"
"2025-09-22T14:07:13.123Z","Included","auto","No","2775","0","16256","455","19486","0.01"
"2025-09-22T13:54:01.576Z","Included","auto","No","8129","0","560883","2876","571888","0.17"
"2025-09-22T13:51:14.785Z","Included","auto","No","6814","0","142192","1512","150518","0.05"
"2025-09-22T13:49:37.401Z","Included","auto","No","3509","0","36282","751","40542","0.02"
"2025-09-22T13:14:55.615Z","Included","auto","No","0","2000","0","134","2134","0.003"
"2025-09-22T13:12:22.800Z","Included","auto","No","1991","0","54237","1400","57628","0.02"
"2025-09-22T13:10:34.419Z","Included","auto","No","4940","0","39825","2907","47672","0.03"
"2025-09-22T13:00:11.801Z","Included","auto","No","2928","0","89198","1515","93641","0.04"
"2025-09-22T12:57:57.126Z","Included","auto","No","6590","0","100166","2366","109122","0.05"
"2025-09-22T12:55:23.673Z","Included","auto","No","0","1626","0","17","1643","0.002"
"2025-09-22T12:54:14.065Z","Included","auto","No","1948","0","42584","749","45281","0.02"
"2025-09-22T12:52:44.171Z","Included","auto","No","5732","0","78357","2071","86160","0.04"
"2025-09-22T12:46:20.950Z","Included","auto","No","7883","0","141316","1943","151142","0.06"
"2025-09-22T12:27:34.530Z","Included","auto","No","13410","0","125432","3706","142548","0.07"
"2025-09-22T12:25:14.810Z","Included","auto","No","7954","0","31495","3686","43135","0.04"
"2025-09-22T12:21:11.785Z","Included","auto","No","44017","0","149935","2285","196237","0.11"
"2025-09-21T15:20:22.868Z","Included","auto","No","224770","110","16306628","32605","16564113","4.55"
"2025-09-21T15:15:19.814Z","Included","auto","No","169915","12","725575","913","896415","0.40"
"2025-09-21T15:13:54.916Z","Included","auto","No","9271","14","70338","777","80400","0.03"
"2025-09-21T15:13:02.905Z","Included","auto","No","11737","14","77767","726","90244","0.04"
"2025-09-21T15:12:16.002Z","Included","auto","No","7939","0","22170","253","30362","0.02"
"2025-09-20T13:45:40.237Z","Included","auto","No","24311","30","150897","4125","179363","0.09"
"2025-09-20T13:39:57.260Z","Included","auto","No","0","4543","0","81","4624","0.01"
"2025-09-20T13:36:48.455Z","Included","auto","No","24795","0","218928","2286","246009","0.10"
"2025-09-20T13:25:19.386Z","Included","auto","No","44859","54","410881","6863","462657","0.20"
"2025-09-20T09:55:09.856Z","Included","auto","No","0","3345","0","25","3370","0.004"
"2025-09-19T15:55:58.114Z","Included","auto","No","0","6749","0","37","6786","0.01"
"2025-09-19T15:52:16.241Z","Included","auto","No","26169","12","66459","3483","96123","0.07"
"2025-09-19T15:41:49.796Z","Included","auto","No","0","3127","0","14","3141","0.004"
"2025-09-19T15:36:07.334Z","Included","auto","No","0","1303","0","12","1315","0.002"
"2025-09-19T15:34:13.682Z","Included","auto","No","4172","14","53720","1051","58957","0.02"
"2025-09-19T15:33:09.942Z","Included","auto","No","0","2256","0","14","2270","0.003"
"2025-09-19T15:28:00.249Z","Included","auto","No","0","1210","0","7","1217","0.002"
"2025-09-19T15:16:34.287Z","Included","auto","No","4270","2","10922","622","15816","0.01"
"2025-09-19T15:15:14.400Z","Included","auto","No","0","1931","0","15","1946","0.003"
"2025-09-19T15:03:50.289Z","Included","auto","No","781","304","12612","553","14250","0.01"
"2025-09-19T15:03:20.429Z","Included","auto","No","1690","263","10922","521","13396","0.01"
"2025-09-18T15:48:12.677Z","Included","auto","No","25251","0","203889","3075","232215","0.10"
"2025-09-18T15:41:43.195Z","Included","auto","No","9169","14","63111","1925","74219","0.04"
"2025-09-18T15:28:46.128Z","Included","auto","No","24966","37","175364","4367","204734","0.10"
"2025-09-18T14:53:59.149Z","Included","auto","No","9966","0","156936","2023","168925","0.06"
"2025-09-18T14:48:05.993Z","Included","auto","No","40239","12","482549","2861","525661","0.19"
"2025-09-18T14:42:13.043Z","Included","auto","No","88953","7269","201148","1299","298669","0.18"
"2025-09-18T14:34:15.256Z","Included","auto","No","18853","6640","1591728","4536","1621757","0.46"
"2025-09-18T14:30:48.317Z","Included","auto","No","3245","645","136900","1739","142529","0.05"
"2025-09-18T14:29:47.498Z","Included","auto","No","2200","570","132500","1051","136321","0.04"
"2025-09-18T14:28:38.830Z","Included","auto","No","7484","475","182131","1211","191301","0.06"
"2025-09-18T14:26:21.211Z","Included","auto","No","4483","1562","223308","1721","231074","0.07"
"2025-09-18T14:24:05.459Z","Included","auto","No","6121","1508","198525","2530","208684","0.07"
"2025-09-18T14:22:29.940Z","Included","auto","No","7566","2969","175381","2778","188694","0.07"
"2025-09-18T14:21:06.163Z","Included","auto","No","6236","2630","146558","2210","157634","0.06"
