Date,User,Kind,Max Mode,Model,Tokens,Cost ($)
"2025-08-18T12:06:52.427Z","You","Included in Pro","No","auto",5514,"Included"
"2025-08-18T12:06:43.614Z","You","Included in Pro","No","auto",5481,"Included"
"2025-08-18T08:58:18.476Z","You","Included in Pro","No","auto",5375,"Included"
"2025-08-18T07:05:03.393Z","You","Included in Pro","No","auto",665911,"Included"
"2025-08-18T05:14:08.530Z","You","Included in Pro","No","auto",30025,"Included"
"2025-08-17T14:55:43.838Z","You","Included in Pro","No","auto",2761,"Included"
"2025-08-17T14:53:13.726Z","You","Included in Pro","No","auto",3875,"Included"
"2025-08-17T14:53:06.995Z","You","Included in Pro","No","auto",4085,"Included"
"2025-08-17T14:52:59.358Z","You","Included in Pro","No","auto",3753,"Included"
"2025-08-17T14:45:07.762Z","You","Included in Pro","No","auto",3583,"Included"
"2025-08-17T14:41:55.806Z","You","Included in Pro","No","auto",3535,"Included"
"2025-08-17T12:50:04.924Z","You","Included in Pro","No","auto",15943,"Included"
"2025-08-17T12:31:14.966Z","You","Included in Pro","No","auto",19727,"Included"
"2025-08-17T12:28:41.004Z","You","Included in Pro","No","auto",22307,"Included"
"2025-08-17T09:12:56.512Z","You","Included in Pro","No","auto",2133,"Included"
"2025-08-17T09:12:47.343Z","You","Included in Pro","No","auto",2278,"Included"
"2025-08-17T09:12:40.388Z","You","Included in Pro","No","auto",1943,"Included"
"2025-08-17T09:12:33.331Z","You","Included in Pro","No","auto",2082,"Included"
"2025-08-17T09:12:23.564Z","You","Included in Pro","No","auto",2022,"Included"
"2025-08-17T08:37:34.736Z","You","Included in Pro","No","auto",1032,"Included"
"2025-08-16T14:02:33.327Z","You","Included in Pro","No","auto",119466,"Included"
"2025-08-16T13:14:05.773Z","You","Included in Pro","No","auto",43765,"Included"
"2025-08-16T06:21:23.440Z","You","Included in Pro","No","auto",29388,"Included"
"2025-08-15T12:49:50.732Z","You","Included in Pro","No","auto",29289,"Included"
"2025-08-15T12:48:00.216Z","You","Included in Pro","No","auto",20804,"Included"
"2025-08-15T12:46:25.072Z","You","Included in Pro","No","auto",21890,"Included"
