Date,User,Kind,Model,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output,Total Tokens,Cost ($)
"2025-08-29T15:39:20.571Z","You","Included in Pro","auto",0,748,1920,79,2747,"Included"
"2025-08-29T15:39:11.783Z","You","Included in Pro","auto",0,2658,0,62,2720,"Included"
"2025-08-29T15:24:40.212Z","You","Included in Pro","auto",6706,0,62162,1390,70258,"Included"
"2025-08-29T14:38:15.695Z","You","Included in Pro","auto",1316,0,28482,761,30559,"Included"
"2025-08-29T14:36:39.355Z","You","Included in Pro","auto",5018,0,34705,924,40647,"Included"
"2025-08-29T14:35:22.109Z","You","Included in Pro","auto",0,982,1920,76,2978,"Included"
"2025-08-29T14:32:48.367Z","You","Included in Pro","auto",0,2896,0,80,2976,"Included"
"2025-08-29T14:07:10.198Z","You","Included in Pro","auto",0,213,2816,116,3145,"Included"
"2025-08-29T14:06:40.319Z","You","Included in Pro","auto",0,2877,0,78,2955,"Included"
"2025-08-29T13:14:15.924Z","You","Included in Pro","auto",3337,0,16180,583,20100,"Included"
"2025-08-29T09:25:11.199Z","You","Included in Pro","auto",15255,0,95659,857,111771,"Included"
"2025-08-29T09:23:50.776Z","You","Included in Pro","auto",6455,0,34167,2085,42707,"Included"
"2025-08-28T14:53:09.463Z","You","Included in Pro","auto",610,0,15401,391,16402,"Included"
"2025-08-28T14:52:25.008Z","You","Included in Pro","auto",3555,0,17850,507,21912,"Included"
"2025-08-28T14:40:36.896Z","You","Included in Pro","auto",0,4885,0,43,4928,"Included"
"2025-08-28T12:50:23.733Z","You","Included in Pro","auto",19867,0,26841,964,47672,"Included"
"2025-08-28T12:37:18.609Z","You","Included in Pro","auto",1132,0,43094,672,44898,"Included"
"2025-08-28T12:35:23.764Z","You","Included in Pro","auto",10710,0,98428,3840,112978,"Included"
"2025-08-28T12:33:42.459Z","You","Included in Pro","auto",6822,0,20869,1206,28897,"Included"
"2025-08-28T11:47:55.428Z","You","Included in Pro","auto",0,1687,0,12,1699,"Included"
"2025-08-28T11:46:58.548Z","You","Included in Pro","auto",0,3677,0,13,3690,"Included"
"2025-08-28T11:40:28.477Z","You","Included in Pro","auto",8021,0,499122,2513,509656,"Included"
"2025-08-28T11:40:17.809Z","You","Included in Pro","auto",0,3971,0,20,3991,"Included"
"2025-08-28T11:37:56.925Z","You","Included in Pro","auto",2403,0,86864,1298,90565,"Included"
