Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
2026-08-12T14:43:40.635Z,Included,auto,No,0,36793,35360,1246,73399,Included
2026-08-12T14:36:27.228Z,Included,auto,No,0,249893,1411104,8235,1669232,Included
2026-08-11T15:38:45.908Z,Included,auto,No,0,40310,60800,1073,102183,Included
2026-08-11T15:22:16.113Z,Included,auto,No,0,110134,1430016,14757,1554907,Included
2026-08-11T15:21:18.511Z,Included,auto,No,0,285963,2466432,20033,2772428,Included
2026-08-11T15:04:16.768Z,Included,auto,No,0,79116,531840,7653,618609,Included
2026-08-11T15:04:01.866Z,Included,auto,No,0,138080,1848320,18732,2005132,Included
2026-08-11T14:52:57.070Z,Included,auto,No,0,74103,1192448,15757,1282308,Included
2026-08-11T14:50:01.780Z,Included,auto,No,0,63111,438400,6254,507765,Included
2026-08-11T14:49:52.574Z,Included,auto,No,0,78217,73856,3086,155159,Included
2026-08-11T14:44:15.102Z,Included,auto,No,0,73451,435712,6825,515988,Included
2026-08-11T14:44:14.996Z,Included,auto,No,0,98191,317824,6678,422693,Included
2026-08-11T14:43:52.471Z,Included,auto,No,0,24850,57216,1601,83667,Included
2026-08-09T15:11:16.156Z,Included,auto,No,96460,3,0,107,96570,Included
2026-08-09T15:02:58.032Z,Included,auto,No,17837,15,416292,1766,435910,Included
2026-08-09T14:56:56.992Z,Included,auto,No,78942,45,945886,5607,1030480,Included
2026-08-09T14:56:19.510Z,Included,auto,No,3982,9,161283,1747,167021,Included
2026-08-09T14:51:42.204Z,Included,auto,No,94119,42,965694,4847,1064702,Included
2026-08-09T14:51:35.282Z,Included,auto,No,52421,33,436047,3446,491947,Included
2026-08-09T14:50:13.500Z,Included,auto,No,105194,3,0,139,105336,Included
2026-08-09T14:42:03.440Z,Included,auto,No,127610,42,1098469,6786,1232907,Included
2026-08-09T14:41:56.230Z,Included,auto,No,105804,93,2330084,10430,2446411,Included
2026-08-09T14:39:54.236Z,Included,auto,No,123618,6,123138,273,247035,Included
2026-08-09T14:36:24.537Z,Included,auto,No,8089,9,351302,3298,362698,Included
2026-08-09T14:25:56.344Z,Included,auto,No,22706,57,1996736,6786,2026285,Included
2026-08-09T14:20:25.986Z,Included,auto,No,91099,51,1261594,6612,1359356,Included
2026-08-09T14:19:44.641Z,Included,auto,No,2219,3,66833,142,69197,Included
2026-08-09T14:19:37.735Z,Included,auto,No,4540,3,62293,82,66918,Included
2026-08-09T14:17:56.268Z,Included,auto,No,103031,39,822856,5470,931396,Included
2026-08-09T14:17:55.879Z,Included,auto,No,121458,39,920894,7658,1050049,Included
2026-08-09T14:17:55.745Z,Included,auto,No,72942,27,405559,4431,482959,Included
2026-08-09T14:17:44.587Z,Included,auto,No,62293,21,267683,3171,333168,Included
2026-08-09T13:50:55.901Z,Included,auto,No,110036,6,109108,443,219593,Included
2026-08-07T15:06:33.270Z,Included,auto,No,0,98626,1691392,20954,1810972,Included
2026-08-07T15:00:30.821Z,Included,auto,No,0,73974,311552,4430,389956,Included
2026-08-07T15:00:30.808Z,Included,auto,No,0,253395,207744,6041,467180,Included
2026-08-07T15:00:19.499Z,Included,auto,No,0,173051,247936,9586,430573,Included
2026-08-07T14:59:37.142Z,Included,auto,No,0,45804,156544,1943,204291,Included
2026-08-07T14:59:28.846Z,Included,auto,No,0,23511,896,448,24855,Included
2026-08-07T14:48:41.302Z,Included,auto,No,0,69726,243200,1763,314689,Included
2026-08-06T15:11:51.717Z,Included,auto,No,0,24640,61824,2484,88948,Included
2026-08-06T15:06:57.909Z,Included,auto,No,0,26415,101504,4627,132546,Included
2026-08-06T15:01:40.459Z,Included,auto,No,0,27852,146688,2727,177267,Included
2026-08-06T14:59:48.730Z,Included,auto,No,0,29487,125696,2962,158145,Included
2026-08-06T14:58:24.328Z,Included,auto,No,0,25408,61056,1671,88135,Included
2026-08-06T14:51:29.383Z,Included,auto,No,0,24741,37760,2391,64892,Included
2026-08-05T15:19:59.956Z,Included,auto,No,44287,176,192306,4505,241274,Included
2026-08-05T15:13:19.265Z,Included,auto,No,22159,437,41851,831,65278,Included
2026-08-05T15:11:37.230Z,Included,auto,No,,,,,,Free
2026-08-05T15:11:22.679Z,Included,auto,No,,,,,,Free
2026-08-05T15:10:49.372Z,Included,auto,No,,,,,,Free
2026-08-05T15:10:31.441Z,Included,auto,No,,,,,,Free
2026-08-05T15:04:51.447Z,Included,auto,No,,,,,,Free
2026-08-05T15:04:35.855Z,Included,auto,No,,,,,,Free
2026-08-05T15:04:04.446Z,Included,auto,No,,,,,,Free
2026-08-04T14:35:18.334Z,Included,auto,No,0,18842,43648,3689,66179,Included
2026-08-03T15:16:28.124Z,Included,auto,No,,,,,,Free
2026-08-03T15:15:53.308Z,Included,auto,No,,,,,,Free
2026-08-03T07:50:20.058Z,Included,auto,No,0,32029,27392,1587,61008,Included
2026-08-03T07:44:03.146Z,Included,auto,No,,,,,,Free
2026-08-03T07:34:53.263Z,Included,auto,No,0,36884,50944,3840,91668,Included
2026-08-03T05:29:06.805Z,Included,auto,No,,,,,,Free
2026-08-02T10:21:01.506Z,Included,auto,No,0,558,46592,79,47229,Included
2026-08-02T10:19:13.597Z,"Errored, No Charge",auto,No,0,41568,429696,7099,478363,-
2026-08-02T10:18:32.240Z,"Errored, No Charge",auto,No,0,27239,91008,2005,120252,-
2026-08-02T10:15:59.041Z,Included,auto,No,0,48699,113024,508,162231,Included
2026-08-02T10:13:10.971Z,Included,auto,No,0,45805,335104,5217,386126,Included
2026-08-02T10:12:16.689Z,Included,auto,No,0,3011,76160,1722,80893,Included
2026-08-02T10:06:37.792Z,Included,auto,No,0,6277,101760,2346,110383,Included
2026-08-02T10:04:52.128Z,Included,auto,No,0,27570,80512,2408,110490,Included
2026-08-02T09:36:00.101Z,Included,auto,No,0,131706,130944,303,262953,Included
2026-07-31T15:19:43.835Z,Included,auto,No,0,489,130432,80,131001,Included
2026-07-31T15:06:05.733Z,Included,auto,No,0,519805,2531712,40097,3091614,Included
2026-07-31T15:02:26.211Z,Included,auto,No,0,59907,141696,3569,205172,Included
2026-07-31T15:02:19.662Z,Included,auto,No,0,58486,125312,4519,188317,Included
2026-07-31T15:01:11.590Z,Included,auto,No,0,16275,47360,948,64583,Included
2026-07-31T14:55:21.451Z,Included,auto,No,0,44736,228992,4933,278661,Included
2026-07-31T14:55:13.743Z,Included,auto,No,0,28522,57216,1242,86980,Included
2026-07-29T14:39:16.978Z,Included,auto,No,0,74841,6144,342,81327,Included
2026-07-29T14:33:41.899Z,Included,auto,No,0,7596,221056,1501,230153,Included
2026-07-29T14:28:58.240Z,Included,auto,No,0,67899,142848,1015,211762,Included
2026-07-29T13:56:31.912Z,Included,auto,No,0,60686,801152,13217,875055,Included
2026-07-29T13:52:01.058Z,Included,auto,No,0,66122,118016,3234,187372,Included
2026-07-29T13:48:16.418Z,Included,auto,No,0,117237,121984,4275,243496,Included
2026-07-29T13:48:06.172Z,Included,auto,No,0,116122,54400,3480,174002,Included
2026-07-28T15:03:53.015Z,Included,auto,No,0,54555,154080,1564,210199,Included
2026-07-28T14:59:27.858Z,Included,auto,No,0,124823,90656,2412,217891,Included
2026-07-28T14:57:21.981Z,Included,auto,No,0,235884,0,496,236380,Included
2026-07-28T14:51:41.398Z,Included,auto,No,0,39372,4058112,12321,4109805,Included
2026-07-28T14:51:17.199Z,Included,auto,No,0,1655,205312,299,207266,Included
2026-07-28T14:48:39.641Z,Included,auto,No,0,171025,35328,271,206624,Included
2026-07-28T14:27:35.087Z,Included,auto,No,0,245528,11380736,39585,11665849,Included
2026-07-28T14:21:00.662Z,Included,auto,No,0,54370,309760,3694,367824,Included
2026-07-28T14:21:00.659Z,Included,auto,No,0,44849,466432,3798,515079,Included
2026-07-28T14:18:14.609Z,Included,auto,No,0,34693,110592,3109,148394,Included
2026-07-27T11:53:43.481Z,Included,auto,No,0,109301,120428,1305,231034,Included
2026-07-27T11:47:03.721Z,Included,auto,No,0,1027,118656,165,119848,Included
2026-07-27T11:36:26.636Z,Included,auto,No,0,114880,2401920,32166,2548966,Included
