Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-10-12T14:42:49.321Z","Included","auto","No","14160","2099","31338","2321","49918","0.04"
"2025-10-12T14:40:13.350Z","Included","auto","No","13614","6664","21037","1805","43120","0.04"
"2025-10-12T14:00:24.366Z","Included","auto","No","108925","52666","784075","56535","1002201","0.74"
"2025-10-12T12:58:07.061Z","Included","auto","No","44190","8985","152413","5971","211559","0.14"
"2025-10-11T13:57:38.787Z","Included","auto","No","6190","3902","54843","2143","67078","0.04"
"2025-10-11T13:33:55.851Z","Errored, Not Charged","auto","No","3494","2406","45501","1713","53114","0.03"
"2025-10-11T07:21:14.953Z","Included","auto","No","2414","1284","22954","880","27532","0.02"
"2025-10-11T07:11:43.281Z","Included","auto","No","2258","2251","27340","472","32321","0.02"
"2025-10-11T07:09:49.803Z","Included","auto","No","3532","1813","23555","1199","30099","0.02"
"2025-10-11T07:06:31.919Z","Included","auto","No","0","626","0","20","646","0.001"
"2025-10-11T07:03:44.218Z","Included","auto","No","1785","1635","22499","1235","27154","0.02"
"2025-10-10T14:43:03.270Z","Included","auto","No","10142","6491","22510","899","40042","0.03"
"2025-10-10T14:38:03.917Z","Included","auto","No","7251","582","19743","1164","28740","0.02"
"2025-10-10T13:09:52.295Z","Included","auto","No","21981","1526","296846","6008","326361","0.14"
"2025-10-10T13:01:20.710Z","Included","auto","No","5211","620","68704","2645","77180","0.04"
"2025-10-09T14:26:17.429Z","Included","auto","No","26946","1249","82134","4557","114886","0.08"
"2025-10-09T14:23:03.816Z","Included","auto","No","25408","1828","222963","7213","257412","0.13"
"2025-10-09T12:55:37.987Z","Included","auto","No","22255","403","67666","1844","92168","0.06"
"2025-10-09T12:51:26.297Z","Included","auto","No","20096","1821","135051","4079","161047","0.09"
"2025-10-08T13:35:49.591Z","Included","auto","No","0","1036","0","18","1054","0.001"
"2025-10-08T13:35:21.575Z","Included","auto","No","0","1000","0","22","1022","0.001"
"2025-10-08T13:34:36.770Z","Included","auto","No","0","991","0","23","1014","0.001"
"2025-10-08T11:42:31.042Z","Included","auto","No","7647","947","47105","1604","57303","0.03"
"2025-10-08T11:40:48.757Z","Included","auto","No","2834","903","39611","1229","44577","0.02"
"2025-10-08T11:37:03.184Z","Included","auto","No","3697","907","33981","705","39290","0.02"
"2025-10-08T11:36:22.439Z","Included","auto","No","3328","960","31016","1268","36572","0.02"
"2025-10-08T11:35:43.776Z","Included","auto","No","3696","282","27563","1084","32625","0.02"
"2025-10-08T11:34:54.330Z","Included","auto","No","2806","2259","10143","601","15809","0.01"
"2025-10-08T11:33:59.766Z","Included","auto","No","4518","968","27879","891","34256","0.02"
"2025-10-08T11:33:27.916Z","Included","auto","No","5907","2111","22406","992","31416","0.02"
