Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-08-23T15:36:38.188Z","","","Included","auto","No","0","128802","78720","495","208017","Included"
"2026-08-23T15:24:51.266Z","","","Included","auto","No","0","414140","746496","9558","1170194","Included"
"2026-08-23T15:22:31.656Z","","","Included","auto","No","0","29782","117248","2038","149068","Included"
"2026-08-23T15:19:28.424Z","","","Included","auto","No","0","110407","120704","269","231380","Included"
"2026-08-23T14:59:14.830Z","","","Included","auto","No","0","416067","2529664","27140","2972871","Included"
"2026-08-23T14:48:24.703Z","","","Included","auto","No","0","155610","115840","3796","275246","Included"
"2026-08-23T14:48:24.309Z","","","Included","auto","No","0","44147","93184","2645","139976","Included"
"2026-08-23T14:48:10.673Z","","","Included","auto","No","0","37386","164736","4317","206439","Included"
"2026-08-22T15:32:12.040Z","","","Included","auto","No","0","97713","106496","308","204517","Included"
"2026-08-22T15:29:45.721Z","","","Included","auto","No","0","8388","570496","2915","581799","Included"
"2026-08-22T15:24:50.144Z","","","Included","auto","No","0","19185","675200","2831","697216","Included"
"2026-08-22T15:18:20.840Z","","","Included","auto","No","0","73416","940800","9645","1023861","Included"
"2026-08-22T15:15:28.877Z","","","Included","auto","No","0","37506","126720","4765","168991","Included"
"2026-08-22T15:15:19.165Z","","","Included","auto","No","0","34993","88192","4619","127804","Included"
"2026-08-22T14:53:23.573Z","","","Included","auto","No","0","75343","87552","276","163171","Included"
"2026-08-22T14:40:52.096Z","","","Included","auto","No","0","75876","1031296","10548","1117720","Included"
"2026-08-22T14:38:51.944Z","","","Included","auto","No","0","133979","135552","248","269779","Included"
"2026-08-22T14:27:49.649Z","","","Included","auto","No","0","19361","1141632","9363","1170356","Included"
"2026-08-22T14:10:03.533Z","","","Included","auto","No","0","211097","2128640","30611","2370348","Included"
"2026-08-22T14:06:02.396Z","","","Included","auto","No","0","58939","184064","3935","246938","Included"
"2026-08-22T14:06:00.989Z","","","Included","auto","No","0","49640","177664","4048","231352","Included"
"2026-08-22T14:05:49.031Z","","","Included","auto","No","0","50328","234496","6543","291367","Included"
"2026-08-20T15:16:56.807Z","","","Included","auto","No","0","65272","147840","313","213425","Included"
"2026-08-20T14:56:41.990Z","","","Included","auto","No","0","65038","638976","11074","715088","Included"
"2026-08-20T14:54:05.251Z","","","Included","auto","No","0","89686","101760","273","191719","Included"
"2026-08-20T14:36:43.142Z","","","Included","auto","No","0","430551","1205248","21994","1657793","Included"
"2026-08-20T14:30:17.923Z","","","Included","auto","No","0","24966","54784","907","80657","Included"
"2026-08-20T14:17:12.809Z","","","Included","auto","No","0","522","115328","97","115947","Included"
"2026-08-20T14:07:42.365Z","","","Included","auto","No","0","156853","2776704","30621","2964178","Included"
"2026-08-20T14:05:53.553Z","","","Included","auto","No","0","11678","165376","3850","180904","Included"
"2026-08-20T14:02:17.412Z","","","Included","auto","No","0","234423","75264","4222","313909","Included"
"2026-08-20T14:02:16.461Z","","","Included","auto","No","0","64255","187648","4420","256323","Included"
"2026-08-20T14:02:03.765Z","","","Included","auto","No","0","36400","56576","2247","95223","Included"
"2026-08-19T15:06:58.567Z","","","Included","auto","No","0","10572","35328","153","46053","Included"
"2026-08-19T15:06:21.176Z","","","Included","auto","No","0","14535","171008","1180","186723","Included"
"2026-08-19T15:04:14.567Z","","","Included","auto","No","0","4755","31232","138","36125","Included"
"2026-08-19T15:02:27.713Z","","","Included","auto","No","0","11758","170496","1286","183540","Included"
"2026-08-19T15:00:32.286Z","","","Included","auto","No","0","8098","24064","156","32318","Included"
"2026-08-19T14:59:44.998Z","","","Included","auto","No","0","11644","115712","1626","128982","Included"
"2026-08-19T14:57:55.234Z","","","Included","auto","No","0","25098","0","184","25282","Included"
"2026-08-19T14:56:51.081Z","","","Included","auto","No","0","28192","97280","932","126404","Included"
"2026-08-19T14:47:32.101Z","","","Included","auto","No","0","67424","538112","2567","608103","Included"
"2026-08-19T14:44:16.834Z","","","Included","auto","No","0","190161","186880","426","377467","Included"
"2026-08-18T15:41:05.045Z","","","Included","auto","No","0","1036","404224","212","405472","Included"
"2026-08-18T15:24:56.439Z","","","Included","auto","No","0","495959","6072320","45139","6613418","Included"
"2026-08-18T15:22:37.500Z","","","Included","auto","No","0","5069","76544","194","81807","Included"
"2026-08-18T15:21:11.472Z","","","Included","auto","No","0","6363","70272","572","77207","Included"
"2026-08-18T15:17:59.321Z","","","Included","auto","No","0","284102","274432","8430","566964","Included"
"2026-08-18T15:17:58.929Z","","","Included","auto","No","0","135723","498944","8084","642751","Included"
"2026-08-18T15:17:43.661Z","","","Included","auto","No","0","107454","385536","11264","504254","Included"
"2026-08-18T15:09:17.060Z","","","Included","auto","No","0","90876","91264","487","182627","Included"
"2026-08-18T14:54:15.639Z","","","Included","auto","No","0","326412","1183360","32755","1542527","Included"
"2026-08-18T14:51:40.830Z","","","Included","auto","No","0","106620","13312","834","120766","Included"
"2026-08-18T14:43:34.392Z","","","Included","auto","No","0","6710","221184","2843","230737","Included"
"2026-08-18T14:32:56.020Z","","","Included","auto","No","0","142590","519680","6977","669247","Included"
