Date,User,Kind,Model,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output,Total Tokens,Cost ($)
"2025-08-24T15:42:48.910Z","You","Included in Pro","auto",18798,0,161687,1340,181825,"Included"
"2025-08-24T14:07:48.900Z","You","Included in Pro","auto",27873,0,248072,1609,277554,"Included"
"2025-08-24T13:47:38.660Z","You","Errored, Not Charged","auto",5739,0,52091,663,58493,"Included"
"2025-08-24T13:01:28.534Z","You","Included in Pro","auto",11877,0,239022,2841,253740,"Included"
"2025-08-24T12:50:07.411Z","You","Included in Pro","auto",19443,0,163689,1681,184813,"Included"
"2025-08-24T12:41:00.982Z","You","Errored, Not Charged","auto",22901,0,417205,4358,444464,"Included"
"2025-08-24T12:22:00.714Z","You","Included in Pro","auto",2905,0,123422,961,127288,"Included"
"2025-08-24T12:17:15.030Z","You","Errored, Not Charged","auto",15188,0,1073241,5435,1093864,"Included"
"2025-08-24T10:33:09.723Z","You","Errored, Not Charged","auto",6486,0,56685,524,63695,"Included"
"2025-08-24T09:13:34.915Z","You","Included in Pro","auto",88957,0,1733965,2666,1825588,"Included"
"2025-08-24T09:01:01.657Z","You","Included in Pro","auto",37966,0,289268,2363,329597,"Included"
"2025-08-23T15:36:39.361Z","You","Included in Pro","auto",4447,0,33081,734,38262,"Included"
"2025-08-23T15:16:45.517Z","You","Included in Pro","auto",0,2845,0,77,2922,"Included"
"2025-08-23T14:06:15.316Z","You","Errored, Not Charged","auto",1759,0,106738,776,109273,"Included"
"2025-08-23T14:02:47.933Z","You","Included in Pro","auto",22020,0,184012,1331,207363,"Included"
"2025-08-23T12:35:28.461Z","You","Included in Pro","auto",10694,0,95065,993,106752,"Included"
"2025-08-23T12:30:09.130Z","You","Included in Pro","auto",7084,0,84742,1696,93522,"Included"
"2025-08-22T13:18:01.153Z","You","Included in Pro","auto",0,1531,2432,65,4028,"Included"
"2025-08-22T13:17:48.776Z","You","Included in Pro","auto",0,1717,2432,267,4416,"Included"
"2025-08-22T13:17:38.707Z","You","Included in Pro","auto",0,3919,0,65,3984,"Included"
"2025-08-22T13:17:24.089Z","You","Included in Pro","auto",0,750,2560,50,3360,"Included"
"2025-08-22T13:16:59.388Z","You","Included in Pro","auto",0,3342,0,110,3452,"Included"
"2025-08-22T07:59:47.904Z","You","Included in Pro","auto",4734,0,28747,861,34342,"Included"
"2025-08-22T07:53:36.399Z","You","Included in Pro","auto",4666,6064,118570,2865,132165,"Included"
"2025-08-22T07:49:57.091Z","You","Included in Pro","auto",7281,0,102445,2726,112452,"Included"
"2025-08-21T15:33:46.948Z","You","Included in Pro","auto",1514,0,23246,1142,25902,"Included"
"2025-08-21T15:31:21.623Z","You","Included in Pro","auto",7450,0,20665,936,29051,"Included"
"2025-08-21T15:03:50.095Z","You","Included in Pro","auto",0,2139,2048,18,4205,"Included"
"2025-08-21T15:03:34.954Z","You","Included in Pro","auto",0,3817,0,18,3835,"Included"
"2025-08-21T15:03:22.390Z","You","Included in Pro","auto",0,3349,0,18,3367,"Included"
"2025-08-21T15:02:58.490Z","You","Included in Pro","auto",0,2437,0,18,2455,"Included"
"2025-08-21T14:53:32.151Z","You","Included in Pro","auto",4658,0,26002,1136,31796,"Included"
"2025-08-21T14:43:55.358Z","You","Included in Pro","auto",5259,0,18148,1017,24424,"Included"
"2025-08-21T14:36:23.451Z","You","Included in Pro","auto",26381,0,104743,851,131975,"Included"
"2025-08-21T07:09:11.447Z","You","Included in Pro","auto",2502,0,20578,605,23685,"Included"
"2025-08-21T07:00:39.135Z","You","Included in Pro","auto",4548,0,57600,1836,63984,"Included"
